Sample_Name,Close Lab ID,ID,Site,Tissue_type,Ala,Gly,Thr,Ser,Val,Leu,Ile,Pro,Asp,Glu,Phe,Lys,Cross_Mes,M_F,Fertility
Symbiont 129-Z ,21-015,129,Reef 1,symbiont,6.336121734,4.699515001,1.254621603,4.900561239,8.809668141,6.510060613,6.295401166,6.070196107,10.34512169,8.683119727,3.666046982,0.732804964,,na,
Symbiont 127-Z ,21-017,127,Reef 1,symbiont,4.968294398,3.434898739,1.174395288,3.319466447,5.898913149,3.894439615,4.075520603,5.173495052,6.326176749,5.479231035,2.362089623,1.927714081,,na,
South Reef Zooplankton,21-098,8,Reef 1,Zooplankton,13.84916975,4.827506328,-0.434820494,4.955919311,11.82731664,9.431763139,10.7780523,11.76515731,11.22731163,13.63254263,3.473772939,3.22811332,,na,
Coral 194,20-077,194,Reef 2,coral,10.88607007,3.019333855,-4.791326229,7.047015967,10.49951559,8.804708975,8.203143644,10.66369524,10.16743117,9.028428608,2.795249858,2.254533353,54.453125,F,Y
Coral 190,21-001,190,Reef 2,coral,9.697927598,4.874029162,-3.150168706,6.602114418,9.733940714,9.359936686,8.304528058,11.00818927,2.06561108,8.057143788,4.024485176,3.59690788,,na,N
Coral 164,21-012,164,Reef 2,coral,nd,nd,-7.789204795,3.368155897,8.796938386,12.01846581,11.02024091,9.584722745,11.19311581,11.71435699,2.460940467,nd,32.8125,F,Y
Coral 187,21-057,187,Reef 2,coral,8.634109382,3.689569842,-3.372626823,6.738132699,9.159115141,9.449191853,9.095511502,9.866490105,10.92015181,10.54109146,4.394356986,3.511994365,1.015625,F,Y
Coral 175,21-097,175,Reef 2,coral,10.69258724,5.756793889,-3.760454719,6.782665642,8.806703075,9.53173141,10.21770842,10.60637961,9.667674222,9.127587059,3.102262665,2.501388065,,na,N
Coral 186,21-100,186,Reef 2,coral,11.53257102,4.5435814,-3.3512753,6.903643686,11.56500519,10.18903355,10.66944073,12.23276735,10.18330987,9.841034062,4.850751997,2.981017931,229.125,M,Y
N. Reef POM #2,21-007,3,Reef 2,POM,10.15353683,4.420362731,1.373992351,4.198891228,10.61320845,7.124915748,6.995474924,8.901049772,9.208103998,8.328494766,5.745929704,3.888527435,,na,
Symbiont 194-Z ,20-078,194,Reef 2,symbiont,4.655586599,3.155048108,-3.325811881,5.497743755,6.511187111,4.655229753,4.828657032,5.696150271,6.482282565,5.871361781,1.8704016,1.842567592,,na,
Symbiont 190-Z ,21-002,190,Reef 2,symbiont,3.894108215,3.09671669,-2.299077642,4.861252558,7.393026489,5.155528001,5.160553578,7.011641047,6.181862471,3.812023793,1.648233766,2.22003273,,na,
Symbiont 164-Z ,21-013,164,Reef 2,symbiont,3.970137854,4.902034824,0.522969942,4.552804677,4.977134104,1.986111076,2.681611793,2.674582796,4.894265933,1.707108951,1.029427644,0.433812669,,na,
N. Reef Plankton Tow ,21-005,4,Reef 2,Zooplankton,14.0773107,5.497558864,-1.511762082,5.219002506,13.03969314,11.10440433,12.25719173,11.73144008,11.84034772,13.5036397,3.263054052,4.260920328,,na,
